order_id,customer_id,product_id,order_date,quantity,unit_price,order_status,line_revenue
1000,583,51,2025-10-04 11:48:06.320769,1,63.65,Returned,63.65
1001,206,57,2024-03-27 23:13:46.497634,1,98.49,Completed,98.49
1002,256,20,2024-11-24 14:01:26.022281,1,180.69,Returned,180.69
1003,370,36,2025-09-14 14:21:27.173261,3,33.56,Completed,100.68
1004,281,49,2024-11-19 01:35:01.255126,1,215.69,Completed,215.69
1005,476,44,2024-01-27 06:23:21.132766,1,220.71,Completed,220.71
1006,651,38,2024-05-09 02:44:52.481039,1,220.99,Completed,220.99
1007,698,9,2025-04-26 08:52:52.294133,1,139.91,Completed,139.91
1008,609,19,2025-07-22 22:46:51.118055,2,245.83,Completed,491.66
1008,609,20,2025-07-22 22:46:51.118055,4,237.72,Completed,950.88
1009,486,58,2025-10-07 19:56:52.847529,1,199.54,Completed,199.54
1010,359,4,2024-04-29 19:48:25.756403,1,100.31,Completed,100.31
1011,265,16,2024-11-10 09:31:59.466990,1,103.54,Completed,103.54
1012,706,55,2024-08-16 02:17:36.643031,1,173.05,Completed,173.05
1013,51,14,2024-10-11 00:41:24.717220,1,234.6,Completed,234.6
1014,586,23,2025-07-11 17:28:30.496090,4,18.33,Completed,73.32
1015,220,57,2025-02-19 06:20:36.664074,1,98.49,Returned,98.49
1015,220,28,2025-02-19 06:20:36.664074,1,29.06,Completed,29.06
1016,694,58,2024-12-24 02:30:03.710798,2,199.54,Completed,399.08
1017,668,9,2025-02-08 06:17:38.058279,1,169.69,Completed,169.69
1018,21,52,2025-01-28 18:09:16.580502,1,195.32,Completed,195.32
1019,786,3,2024-12-08 23:13:04.835010,1,101.78,Completed,101.78
1020,486,54,2025-02-14 10:42:53.298675,1,29.61,Completed,29.61
1020,486,35,2025-02-14 10:42:53.298675,2,241.49,Completed,482.98
1021,616,26,2024-04-24 02:34:04.678325,1,152.0,Cancelled,152.0
1022,230,7,2024-02-10 16:30:51.999049,1,144.55,Completed,144.55
1023,313,47,2024-07-11 06:36:36.164712,1,89.76,Completed,89.76
1024,727,38,2025-03-07 11:06:37.723576,1,220.99,Completed,220.99
1025,434,30,2024-10-02 19:00:56.853625,1,133.76,Completed,133.76
1025,434,5,2024-10-02 19:00:56.853625,2,18.8,Completed,37.6
1026,471,35,2025-05-08 20:03:57.495779,1,241.49,Completed,241.49
1026,471,44,2025-05-08 20:03:57.495779,1,220.71,Completed,220.71
1027,694,16,2025-07-13 12:34:04.240954,1,103.54,Completed,103.54
1028,639,59,2024-07-26 15:20:44.496458,1,179.72,Completed,179.72
1028,639,34,2024-07-26 15:20:44.496458,1,123.69,Completed,123.69
1029,679,57,2024-02-14 20:08:52.790918,1,98.49,Completed,98.49
1030,384,12,2025-03-07 00:55:08.518726,1,101.68,Completed,101.68
1030,384,11,2025-03-07 00:55:08.518726,1,63.06,Completed,63.06
1031,290,46,2024-04-03 14:01:48.270454,4,73.0,Completed,292.0
1031,290,47,2024-04-03 14:01:48.270454,1,68.47,Completed,68.47
1032,284,42,2024-09-24 11:30:17.456254,2,157.62,Completed,315.24
1033,284,6,2025-08-13 23:22:33.783225,1,71.74,Completed,71.74
1033,284,6,2025-08-13 23:22:33.783225,2,71.74,Completed,143.48
1034,668,17,2025-03-02 07:06:05.242391,1,16.4,Completed,16.4
1034,668,54,2025-03-02 07:06:05.242391,1,26.74,Completed,26.74
1035,59,34,2025-07-12 14:11:57.251882,1,145.12,Returned,145.12
1036,615,3,2025-04-01 08:40:50.029568,1,101.78,Cancelled,101.78
1036,615,18,2025-04-01 08:40:50.029568,2,133.07,Completed,266.14
1037,144,13,2024-10-04 19:38:44.080724,1,241.68,Completed,241.68
1038,672,51,2024-11-08 13:09:22.656612,2,80.72,Completed,161.44
1039,303,13,2025-12-25 02:53:08.008110,1,241.68,Completed,241.68
1040,429,12,2024-10-27 17:00:23.892534,1,101.68,Completed,101.68
1041,755,11,2024-02-11 04:59:26.898132,1,56.23,Completed,56.23
1042,586,2,2024-06-27 06:53:24.324447,1,72.13,Completed,72.13
1043,352,35,2024-06-20 06:34:44.361642,1,241.49,Completed,241.49
1044,228,43,2024-08-15 19:59:01.446228,1,105.22,Completed,105.22
1045,654,45,2024-03-03 00:10:45.216269,1,19.93,Completed,19.93
1046,688,22,2025-05-17 05:36:24.874988,3,59.28,Completed,177.84
1047,308,56,2025-09-26 07:49:41.206604,1,125.24,Completed,125.24
1047,308,11,2025-09-26 07:49:41.206604,2,63.06,Completed,126.12
1048,572,42,2024-03-24 13:32:13.612918,4,157.62,Completed,630.48
1049,100,15,2024-05-03 22:31:56.302979,1,65.03,Completed,65.03
1049,100,34,2024-05-03 22:31:56.302979,1,145.12,Cancelled,145.12
1049,100,2,2024-05-03 22:31:56.302979,2,72.13,Completed,144.26
1050,573,42,2025-01-28 01:03:45.214619,1,157.62,Completed,157.62
1051,188,14,2024-01-28 06:51:21.355060,1,234.6,Completed,234.6
1051,188,44,2024-01-28 06:51:21.355060,1,220.71,Completed,220.71
1051,188,14,2024-01-28 06:51:21.355060,2,234.6,Completed,469.2
1052,228,28,2025-04-25 04:05:29.833770,1,29.06,Completed,29.06
1053,763,46,2024-11-04 09:43:39.577938,1,73.0,Completed,73.0
1054,431,16,2025-01-10 18:35:31.552810,1,103.54,Completed,103.54
1055,340,5,2024-11-03 10:56:40.012328,1,18.8,Completed,18.8
1056,600,34,2024-01-15 21:26:52.147554,3,145.12,Completed,435.36
1057,121,46,2024-12-08 21:08:32.171823,1,73.0,Completed,73.0
1058,650,34,2024-01-17 05:34:57.462736,3,145.12,Completed,435.36
1058,650,30,2024-01-17 05:34:57.462736,1,133.76,Completed,133.76
1059,73,57,2024-08-19 01:19:51.880827,1,98.49,Returned,98.49
1060,200,52,2025-02-20 08:35:38.519402,1,195.32,Completed,195.32
1061,698,37,2024-08-23 08:49:20.569924,1,198.15,Completed,198.15
1062,306,36,2024-03-12 08:09:13.652623,4,33.56,Completed,134.24
1063,155,37,2024-12-22 12:02:34.727653,2,156.55,Completed,313.1
1063,155,34,2024-12-22 12:02:34.727653,2,145.12,Cancelled,290.24
1064,584,33,2025-05-19 07:56:11.970283,1,35.23,Completed,35.23
1065,469,59,2024-05-30 07:30:49.300240,1,165.79,Completed,165.79
1066,185,34,2024-12-28 14:44:02.658033,1,145.12,Completed,145.12
1066,185,53,2024-12-28 14:44:02.658033,1,184.37,Completed,184.37
